Run no, No of collisions, Progress, Collision time, Cumulative unevenness, No of CBF violations, Reward
1,55,122.1026,44.98084,1632.329,0,-2056.698
2,6,0.5009214,196.9453,3165.323,0,-6150.447
3,3,0.733636,196.6852,794.1222,0,-1535.219
4,67,0.6237563,197.2853,1091.092,0,-2114.101
5,3,0.6334621,197.2653,1053.131,0,-2040.245
6,3,0.6332288,197.2653,1053.39,0,-2040.752
7,3,0.6450984,197.2653,1025.369,0,-1986.113
8,3,0.6338555,197.2653,1045.308,0,-2025.016
9,3,0.6450338,197.2653,1017.118,0,-1970.063
10,3,0.6345334,197.2653,1036.11,0,-2007.135
