X,Y,Z
491.1084,140.64,34.77
491.1084,140.6322,34.77
491.1084,139.3449,34.77
491.1084,138.782,34.77
491.1084,138.1319,34.77
491.1084,138.0081,34.77
491.1084,136.8466,34.77
491.1084,135.4265,34.77
491.1084,133.7673,34.77
491.1084,131.8965,34.77
491.1084,129.817,34.77
491.1084,127.5574,34.77
491.1133,125.1717,34.76901
491.3564,124.7748,34.80648
491.5509,124.726,34.95475
491.9732,124.5178,35.22852
492.1821,124.409,35.30507
492.2274,124.3866,35.31927
492.3742,124.3178,35.35783
492.5505,124.2303,35.41856
492.6931,124.15,35.51821
492.8229,124.0711,35.62215
492.9491,123.9906,35.72491
493.0722,123.9087,35.82448
493.1906,123.8301,35.91973
493.3069,123.753,36.01268
493.4277,123.6711,36.11044
493.5496,123.5896,36.21059
493.6708,123.5091,36.30995
493.7931,123.4268,36.41056
493.918,123.3453,36.51281
494.0438,123.2679,36.617
494.166,123.1924,36.72052
494.2919,123.1139,36.83051
494.4175,123.0388,36.94228
494.5415,122.9678,37.05509
494.6638,122.8996,37.16947
494.7885,122.8313,37.28683
494.9107,122.772,37.40303
495.0338,122.7201,37.52112
495.1563,122.6715,37.64108
495.3817,122.5916,37.87152
495.4869,122.554,37.98135
495.5078,122.5476,38.00359
495.5854,122.5241,38.08802
495.6819,122.4955,38.19533
495.8149,122.4678,38.34704
495.9508,122.4468,38.50686
496.0803,122.4281,38.66495
496.1968,122.4139,38.8113
496.303,122.4033,38.94808
496.4007,122.3959,39.07533
496.4882,122.3937,39.19081
496.604,122.4027,39.34535
496.7306,122.4189,39.52059
496.8427,122.432,39.68474
496.9375,122.4457,39.8315
497.0191,122.4635,39.96025
497.116,122.4907,40.1164
497.2175,122.53,40.28847
497.2977,122.5607,40.43652
497.3629,122.5871,40.562
497.441,122.6219,40.71642
497.5219,122.6669,40.88645
497.5878,122.7074,41.03068
497.6651,122.7531,41.20663
497.7408,122.8056,41.39088
497.8033,122.8552,41.55211
497.846,122.8928,41.67046
497.9028,122.9426,41.83628
497.9618,123.0066,42.02367
498.0059,123.0582,42.17347
498.0571,123.1204,42.36148
498.1018,123.1822,42.54894
498.1368,123.236,42.70157
498.1754,123.2952,42.88049
498.2113,123.363,43.07147
498.2393,123.4187,43.2282
498.2716,123.4813,43.42719
498.2972,123.5458,43.61923
498.3187,123.5976,43.77977
498.3432,123.6573,43.9799
498.359,123.7232,44.17726
498.3734,123.7781,44.33707
498.3945,123.8359,44.54686
498.4069,123.8988,44.75628
498.4185,123.9546,44.91693
498.4347,124.0083,45.12636
498.4469,124.0682,45.35116
498.4575,124.1176,45.52577
498.466,124.1736,45.75288
498.4683,124.2287,45.97925
498.4629,124.2713,46.16408
498.4573,124.3097,46.41471
498.4491,124.3511,46.65831
498.4457,124.3898,46.85212
498.4676,124.4208,47.09896
498.4936,124.4568,47.33957
498.5225,124.481,47.53559
498.5766,124.4979,47.76951
498.6376,124.5149,47.99837
498.6911,124.5263,48.19189
498.7405,124.5284,48.35438
498.8208,124.5221,48.5568
498.9155,124.5089,48.76989
499.0022,124.4914,48.95982
499.0849,124.4757,49.12118
499.1644,124.4616,49.26098
499.2667,124.4354,49.43737
499.3842,124.3982,49.6365
499.4906,124.3627,49.81332
499.5905,124.3219,49.97644
499.6862,124.28,50.13301
499.7716,124.2406,50.27225
499.8532,124.1976,50.40713
499.9275,124.1579,50.52925
500.0331,124.1046,50.70352
500.1486,124.0409,50.89504
500.2594,123.9793,51.07676
500.3649,123.9196,51.24899
500.4671,123.86,51.4153
500.5654,123.8043,51.57555
500.6576,123.748,51.72787
500.7477,123.6953,51.87658
500.8354,123.644,52.02403
500.9217,123.5907,52.17109
500.9944,123.5471,52.29609
501.0688,123.5011,52.42773
501.1379,123.4562,52.55264
501.2368,123.3968,52.73207
501.3433,123.3311,52.9274
501.448,123.2732,53.11905
501.5448,123.2182,53.30518
501.6373,123.1624,53.48761
501.7207,123.1122,53.66355
501.7978,123.0667,53.83673
501.8703,123.0243,54.00614
501.939,122.9833,54.16768
502.0031,122.9482,54.32116
502.0607,122.9223,54.46722
502.1284,122.893,54.64648
502.2,122.8632,54.84283
502.2645,122.8307,55.03738
502.3209,122.7992,55.22388
502.3695,122.7744,55.39944
502.4109,122.7563,55.56403
502.4444,122.7463,55.71414
502.4874,122.7359,55.90602
502.532,122.7263,56.11454
502.5699,122.7104,56.31541
502.5988,122.7039,56.49311
502.6234,122.6996,56.65706
502.6524,122.6977,56.86175
502.6779,122.6976,57.09253
502.6903,122.7039,57.28506
502.6979,122.7123,57.46055
502.7031,122.7191,57.61548
502.7083,122.7328,57.82617
502.7087,122.7503,58.04694
502.7047,122.7671,58.24225
502.6981,122.7841,58.4124
502.6885,122.8066,58.62106
502.6732,122.8361,58.84067
502.6558,122.8613,59.03395
502.6377,122.8853,59.19348
502.6144,122.9176,59.39282
502.5834,122.9532,59.6076
502.5513,122.9852,59.79392
502.5215,123.0148,59.94871
502.4826,123.0563,60.1342
502.4365,123.0958,60.34108
502.3899,123.1355,60.5233
502.35,123.1671,60.66105
502.2939,123.2061,60.85334
502.2313,123.2524,61.04831
502.1737,123.2903,61.21552
502.128,123.3221,61.34686
502.0679,123.3609,61.5073
501.9993,123.4035,61.6766
501.9418,123.4321,61.813
501.8752,123.4677,61.96663
501.8021,123.507,62.12276
501.7374,123.5415,62.25353
501.6862,123.5665,62.35619
501.6275,123.5915,62.47201
501.557,123.6265,62.60196
501.4964,123.6527,62.70854
501.4431,123.6743,62.8013
501.3861,123.6982,62.89795
501.3236,123.7232,63.00026
501.2704,123.7433,63.08353
501.2222,123.7605,63.15802
501.1706,123.7766,63.23701
501.1147,123.7957,63.31791
501.0613,123.8156,63.39264
501.0148,123.8309,63.45792
500.9724,123.8428,63.5173
500.9236,123.8546,63.58601
500.867,123.8681,63.66213
500.8133,123.8837,63.72823
500.765,123.8979,63.78668
500.7222,123.9094,63.83881
500.675,123.9209,63.89668
500.6197,123.932,63.96487
500.5693,123.9419,64.02481
500.5242,123.9501,64.07725
500.4808,123.9582,64.12505
500.4399,123.966,64.16895
500.3895,123.9753,64.22437
500.337,123.984,64.28177
500.2869,123.9935,64.33321
500.2401,124.0012,64.37943
500.1978,124.0067,64.42052
500.1569,124.0106,64.46004
500.12,124.0149,64.49487
500.0736,124.0211,64.53992
500.022,124.0273,64.5903
499.9736,124.0316,64.63653
499.9283,124.0352,64.67767
499.8857,124.0397,64.71413
499.8451,124.0434,64.74854
499.806,124.0463,64.7812
499.7707,124.0479,64.81091
499.7344,124.0486,64.84195
499.6926,124.0491,64.87891
499.6544,124.0497,64.91161
499.616,124.0517,64.94296
499.58,124.0539,64.97187
499.5444,124.0561,65.0005
499.503,124.0589,65.03482
499.463,124.0616,65.06699
499.4253,124.0635,65.09697
499.39,124.0642,65.1256
499.3583,124.0644,65.15127
499.3188,124.0642,65.18507
499.2806,124.0647,65.21739
499.2429,124.0646,65.24904
499.2081,124.0636,65.27802
499.174,124.0626,65.30536
499.1384,124.0617,65.33347
499.0983,124.0618,65.36468
499.0582,124.0628,65.39484
499.0223,124.0634,65.42142
498.9878,124.0631,65.44722
498.9545,124.062,65.47251
498.9232,124.0604,65.49623
498.891,124.0593,65.52048
498.8533,124.0586,65.54878
498.8171,124.0579,65.57518
498.7825,124.0572,65.59975
498.7495,124.0559,65.62296
498.7167,124.0542,65.64597
498.6849,124.0523,65.66782
498.655,124.0504,65.68834
498.6171,124.0486,65.71573
498.5828,124.0463,65.7406
498.5476,124.0433,65.76629
498.5164,124.0413,65.78848
498.4836,124.0394,65.81157
498.4539,124.0376,65.83246
498.426,124.0358,65.85202
498.3936,124.0337,65.87512
498.3588,124.0316,65.9003
498.3241,124.0294,65.92511
498.2913,124.0272,65.94831
498.2602,124.025,65.97008
498.2313,124.0223,65.99061
498.2021,124.0189,66.01122
498.1747,124.0159,66.03024
498.1439,124.013,66.05162
498.1098,124.0103,66.07552
498.0755,124.0078,66.09874
498.0439,124.0054,66.12009
498.0131,124.003,66.14072
497.9824,123.9996,66.1615
497.9529,123.9958,66.18155
497.9221,123.9918,66.20201
497.8956,123.9887,66.21914
497.8694,123.9855,66.23597
497.8363,123.982,66.25822
497.8026,123.9783,66.28079
497.7711,123.9749,66.3017
497.7398,123.9713,66.32231
497.7093,123.9673,66.34222
497.6809,123.9637,66.36022
497.6514,123.9598,66.37863
497.6233,123.9557,66.39622
497.5964,123.9517,66.41299
497.5717,123.9482,66.42825
497.5394,123.9444,66.44936
497.5063,123.9408,66.47028
497.4765,123.9375,66.48866
497.4467,123.9341,66.5069
497.4171,123.9303,66.525
497.3886,123.9266,66.54217
497.3584,123.922,66.56062
497.3333,123.9178,66.57605
497.306,123.9131,66.5928
497.2825,123.9088,66.60718
497.2574,123.9039,66.62245
497.23,123.8986,66.63962
497.1993,123.8932,66.65946
497.1681,123.8883,66.67867
497.1409,123.8838,66.69531
497.1119,123.879,66.71295
497.0836,123.8742,66.72998
497.0573,123.8701,66.74541
497.0303,123.8654,66.76135
497.0034,123.8606,66.77724
496.9798,123.8564,66.7912
496.9564,123.8522,66.80508
496.9312,123.8477,66.81995
496.9075,123.8437,66.834
496.8768,123.8399,66.85281
496.8474,123.8354,66.87109
496.8179,123.8306,66.88938
496.7816,123.8243,66.9119
496.7622,123.8205,66.924
496.736,123.8155,66.93999
496.7099,123.8106,66.9556
496.6845,123.8061,66.97018
496.6605,123.8018,66.9838
496.6349,123.7971,66.9983
496.6115,123.7927,67.01158
496.5878,123.7883,67.02494
496.5603,123.7832,67.04147
496.5344,123.7786,67.0575
496.5049,123.7743,67.07488
496.4764,123.7697,67.09183
496.4512,123.7653,67.10674
496.424,123.7604,67.1228
496.3981,123.7552,67.13827
496.3705,123.7496,67.15466
496.345,123.7444,67.1696
496.3215,123.7396,67.18318
496.2949,123.7343,67.19836
496.2722,123.73,67.21108
496.2495,123.7256,67.22362
496.2206,123.721,67.23999
496.1895,123.7165,67.25771
496.1591,123.7119,67.27485
496.1301,123.7074,67.29102
496.103,123.7028,67.30614
496.0772,123.6982,67.32073
496.0502,123.6933,67.33582
496.024,123.6882,67.35062
495.9979,123.683,67.36537
495.9735,123.6782,67.37904
495.9475,123.6733,67.39336
495.9241,123.6691,67.40604
495.899,123.6646,67.41957
495.8752,123.6604,67.4323
495.8505,123.6562,67.44592
495.8204,123.6515,67.46311
495.7917,123.6468,67.47913
495.765,123.6425,67.49379
495.7354,123.6378,67.5098
495.709,123.6334,67.52386
495.6806,123.6286,67.53895
495.6531,123.6239,67.5535
495.6311,123.6196,67.56534
495.6043,123.6144,67.57977
495.5792,123.6094,67.59326
495.5553,123.6041,67.60636
495.5297,123.5982,67.62051
495.5074,123.5932,67.63278
495.4817,123.5878,67.64651
495.4555,123.5835,67.66118
495.4261,123.5788,67.67737
495.3976,123.5744,67.69278
495.3687,123.5699,67.70812
495.3412,123.5652,67.7229
495.3147,123.5603,67.73734
